"function_name","tier","tier_label","reason_codes","evidence_source_ids","evidence_probe_ids","evidence_status","review_status","notes"
"ENCODEURL","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-073","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046"
"EXPAND","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-074","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"FILTER","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-075","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"FILTERXML","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-076","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046"
"GROUPBY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-055","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"HSTACK","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-077","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"ISOMITTED","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-048","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"LAMBDA","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-042","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"LET","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-041","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"MAKEARRAY","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-047","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"MAP","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-046","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"PIVOTBY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-056","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"RANDARRAY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-049","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"REDUCE","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-044","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"SCAN","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-045","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-019|ECS-EB-028|ECS-EB-030"
"SEQUENCE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-078","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"SORT","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-079","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"SORTBY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-080","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"STOCKHISTORY","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-081","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046"
"TAKE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-082","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"TOCOL","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-083","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"TOROW","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-084","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"TRANSPOSE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-085","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"TRIMRANGE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-086","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"UNIQUE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-087","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"VSTACK","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-088","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"WEBSERVICE","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-089","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046"
"WRAPCOLS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-090","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"WRAPROWS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-091","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"XLOOKUP","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-092","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"XMATCH","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-093","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034"
"CELL","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-062","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034"
"INDIRECT","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-057","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034"
"INFO","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-063","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034"
"OFFSET","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","ECS-001|ECS-002|ECS-058","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-010|ECS-EB-011|ECS-EB-012|ECS-EB-013|ECS-EB-014|ECS-EB-030|ECS-EB-034"
"RTD","5","critical_interest","external_data_or_services","ECS-001|ECS-002|ECS-040","","source_bound","triaged_source_bound","probe_tasks=ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046"
